trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-45.430270172961905,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.990025}",25,0,-66.75733196579773,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",35,0,-154.68239590983222,"{0: 24, 1: 3, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.980149500625}",25,0,-141.7689509813987,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.975248753121875}",20,0,-159.59017879746054,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562656}",20,0,-65.19245412496917,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094842}",20,0,-74.62185139148013,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9606930435754368}",20,0,-137.49990698339792,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575596}",25,0,-296.1292086818992,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",20,0,-119.25974224258334,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",25,0,-114.740142494412,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",25,15,-17.22744632836598,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",25,0,-75.91008832599948,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",25,0,-146.3374632538704,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",25,0,-229.71912691784442,"{0: 10, 1: 2, 2: 9, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",20,0,-49.27553938045122,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",25,0,-132.64922283327485,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",20,0,-60.702339608259976,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9091562615825302}",30,0,-164.90763628954278,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9046104802746175}",20,0,-109.98770598522664,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9000874278732445}",20,0,-99.17973896329347,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8955869907338783}",25,0,-97.11274978374756,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8911090557802088}",20,0,-56.064641783493414,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8866535105013078}",25,0,-140.37441550045676,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8822202429488012}",30,0,-87.70869019059742,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8778091417340572}",25,13,-86.78553947646971,"{0: 5, 1: 3, 2: 2, 3: 1, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.873420096025387}",20,0,-140.81987224163933,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.86905299554526}",30,0,-140.9726384681831,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.8647077305675337}",30,0,-98.9529644503619,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8603841919146961}",25,7,-32.05951802480949,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.8560822709551226}",25,0,-102.82196298844468,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.8518018596003469}",20,0,-112.70295242292157,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.8475428503023452}",20,0,-58.72154208037507,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.8433051360508335}",30,0,-71.72019575618647,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.8390886103705792}",20,0,-34.3087955016371,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8348931673187264}",35,15,-50.0963043083319,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.8307187014821328}",20,0,-98.64639431133052,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.826565107974722}",25,0,-190.17303463455778,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
39,False,"{'a': 0.5, 'e': 0.8224322824348484}",20,0,-74.34948146036012,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.8183201210226743}",20,0,-83.14295664150586,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.8142285204175609}",20,0,-59.38011754579641,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.810157377815473}",20,0,-131.36805046135333,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.8061065909263957}",20,0,-0.803075963391513,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.8020760579717637}",25,0,-28.052009538258666,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.7980656776819048}",25,0,-39.656122333807126,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.7940753492934953}",30,8,-82.71629721356724,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.7901049725470278}",30,0,-149.63247771771836,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.7861544476842928}",30,0,-118.31688503871631,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.7822236754458712}",25,0,-83.04934719277665,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7783125570686419}",25,0,-121.97838410393177,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.7744209942832987}",30,0,-138.24017347368465,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.7705488893118821}",20,0,-73.39088437803372,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7666961448653228}",30,0,-138.23637843396952,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.7628626641409961}",30,0,-139.96598153368564,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.7590483508202912}",20,0,-154.4120514946133,"{0: 12, 1: 2, 2: 0, 3: 4, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.7552531090661897}",20,0,-48.175021940796675,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.7514768435208588}",25,8,8.079767475016359,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.7477194593032545}",20,0,-99.11188279646284,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.7439808620067382}",30,0,-100.78085477195332,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.7402609576967045}",20,13,-6.552446296758347,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.736559652908221}",20,0,-39.23722490292413,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.7328768546436799}",20,0,-66.90340856309409,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.7292124703704614}",20,10,3.49118425674341,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.7255664080186092}",25,0,-127.61574615143778,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.7219385759785161}",20,0,-6.668896665809779,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.7183288830986235}",25,0,-105.66873375513117,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.7147372386831304}",25,0,-75.18683526708203,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.7111635524897147}",30,14,-95.3578621628029,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
69,False,"{'a': 0.5, 'e': 0.7076077347272661}",20,0,-42.08522073441745,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.7040696960536298}",20,0,-59.43801949624915,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.7005493475733616}",35,14,-59.60939728446011,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.6970466008354949}",20,0,-111.86684561087209,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.6935613678313174}",20,15,11.260294544100345,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.6900935609921608}",25,0,-75.38638860093594,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.6866430931872}",20,11,-11.061560350971341,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.683209877721264}",20,0,-72.38211728722443,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.6797938283326577}",30,18,-1.1842563902113872,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6763948591909944}",25,17,-36.208227853716444,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.6730128848950394}",20,1,-66.32129649697153,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
80,False,"{'a': 0.5, 'e': 0.6696478204705641}",20,2,-32.91628065950327,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.6662995813682113}",20,0,-117.75443327003373,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.6629680834613703}",20,0,-55.786606885881824,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.6596532430440635}",20,0,-24.664314348194946,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.6563549768288431}",20,0,-105.2772114881009,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.6530732019446989}",25,3,7.846628279989449,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.6498078359349754}",25,5,-3.1952354580209708,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.6465587967553006}",20,0,-44.363505993941494,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.6433260027715241}",20,0,-66.90214003457059,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.6401093727576664}",25,5,-83.08335140777496,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
90,False,"{'a': 0.5, 'e': 0.6369088258938781}",30,0,-94.68997230834583,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",1
91,False,"{'a': 0.5, 'e': 0.6337242817644086}",25,0,-16.305090066646894,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.6305556603555866}",20,0,-70.68720390927643,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.6274028820538087}",25,17,-40.148277236373545,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.6242658676435396}",20,0,-59.627830801886454,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.6211445383053219}",25,0,-83.18776902400006,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.6180388156137954}",20,10,-5.867467273141439,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.6149486215357264}",30,7,-16.27316542723858,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.6118738784280477}",25,0,15.569552531687474,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.6088145090359075}",20,0,-18.08676879049268,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.6057704364907279}",20,11,13.387542644827587,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.6027415843082743}",25,0,-118.60028270087247,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.599727876386733}",20,0,-119.39677878040682,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.5967292370047993}",25,1,-91.38618869151831,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 2}",1
104,False,"{'a': 0.5, 'e': 0.5937455908197753}",20,0,-57.93649944085266,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.5907768628656764}",20,11,6.653602859457594,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.587822978551348}",20,3,-47.56574803676855,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.5848838636585912}",25,2,-177.11108317019116,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 4}",1
108,False,"{'a': 0.5, 'e': 0.5819594443402983}",20,0,-55.24258982174108,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.5790496471185969}",20,0,-113.02231551660566,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.5761543988830038}",30,7,-48.998230855931084,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.5732736268885888}",25,0,-228.747119448169,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
112,False,"{'a': 0.5, 'e': 0.5704072587541459}",20,14,12.484335747505288,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.5675552224603752}",25,12,-22.12172336701063,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.5647174463480732}",20,0,-50.10341240633866,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.5618938591163328}",25,0,-18.587547663090056,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.5590843898207511}",25,0,-136.92822123077298,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
117,False,"{'a': 0.5, 'e': 0.5562889678716475}",20,2,-83.56908115252672,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.5535075230322892}",25,18,12.940526365312994,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.5507399854171278}",20,0,-4.240440466449659,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.5479862854900421}",20,0,-99.93741405215151,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.5452463540625919}",20,10,-38.57656118280224,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.542520122292279}",35,0,-128.29204604338528,"{0: 27, 1: 1, 2: 4, 3: 0, 4: 3}",0
123,False,"{'a': 0.5, 'e': 0.5398075216808176}",20,13,-5.387962422817817,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.5371084840724134}",25,12,-9.719291208257133,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.5344229416520514}",30,16,-47.283066140870304,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.5317508269437912}",20,12,3.7399022988709767,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.5290920728090721}",25,6,-35.13287355583647,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
