trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,13,-9.938931480013206,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.63322403022806,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.8446873617865,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.58148615694668,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.89533450424975,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,13,1.486033095276138,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-28.928658774654714,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,3,-115.28207235520459,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.99638681994706,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-211.2608811159471,"{0: 17, 1: 4, 2: 11, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.331890384081284,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.3712289861036,"{0: 11, 1: 2, 2: 11, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.00172242553677,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.29070726294236,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.19636434691733,"{0: 10, 1: 6, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.22858502060909,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.34058145872869,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.64200756461459,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,10,-46.91530799726122,"{0: 4, 1: 1, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,11,-29.643234626328592,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,11,-85.92304912601915,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.18935603629868,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-204.46485047377513,"{0: 14, 1: 2, 2: 3, 3: 3, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-189.8091818277322,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.649726903938,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.12368442467134,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-164.6767076675525,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,9,2.1322700832322283,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-29.8795689800742,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-166.9267186224608,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
