trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,7,-101.25370682991975,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.04994346951543,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.91679178930475,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-3.309493667359094,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.63900700756656,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-125.69763954827322,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-267.68874529175264,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 5}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.26465978444156,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.57920180537211,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-74.11563988611975,"{0: 24, 1: 3, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,6,-106.71168398629001,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.226650659279,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.12587200085576,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-294.6513520124469,"{0: 16, 1: 4, 2: 9, 3: 2, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.329253246592113,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,12,-8.366670275135336,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.46771733821852,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.22946235224053,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.08550567082258,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.27510617375174,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.38888633815797,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.21566609158646,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-120.41049669579958,"{0: 16, 1: 2, 2: 11, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,11,-16.92665627978931,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-170.21980892529584,"{0: 23, 1: 3, 2: 4, 3: 3, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-164.38322239675077,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,9,-47.624300000732156,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-275.6712857932944,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,1,-59.64254193445505,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-210.68484774795823,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
