trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-96.69238328589101,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-100.70326707766849,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-136.11613260345288,"{0: 23, 1: 1, 2: 8, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-203.20269204117187,"{0: 14, 1: 4, 2: 8, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-39.985442362590014,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-191.4200284585556,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-187.70240481024024,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-72.30206404958196,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-60.49894710141384,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-91.45711509807916,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,13,-1.4100174363878835,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,4,-43.07164486282037,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-36.576473332391274,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-45.18297106516864,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,9,-73.51948023642262,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-70.12620915275973,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-18.006224497292273,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-21.15346281261038,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-162.5188348373236,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,6,-42.689598656118875,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,10,-21.855246237399985,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,14,4.130142344570543,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-39.38911196356591,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-27.018683338918542,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,12,-2.4621065516766025,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-59.609045710544954,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,17.475102332436162,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,5,11.11264352793821,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-68.56859567226485,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",30,2,22.77066565587787,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
