trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",30,0,-136.29310608699404,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.990025}",20,0,-81.93669879546029,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",20,0,-144.77754650838412,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.980149500625}",30,0,-202.217134737425,"{0: 16, 1: 6, 2: 3, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.975248753121875}",20,0,-96.91089559218409,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562656}",35,8,-104.43563798035802,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9655206468094842}",30,0,-126.63055600842549,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9606930435754368}",20,0,-58.777868015726646,"{0: 12, 1: 5, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575596}",20,0,-132.49356310335398,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",25,0,-274.8553489744501,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 6}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",20,0,-204.50570961571978,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",20,0,-107.45853679171157,"{0: 8, 1: 4, 2: 6, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",20,0,-11.970018275943964,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",20,0,-5.733478531555212,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",20,0,-107.5105464079918,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",30,0,-171.00601639423374,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",25,0,-175.79384942463784,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
